label,count
STATUS,121
AMOUNT,96
IBAN,53
CURRENCY,51
TRANSFER_ID,43
PROCESS_NAME,42
CUSTOMER_NAME,39
FIRST_NAME,38
LAST_REVIEWED_DATE,37
LAST_EXECUTED_DATE,35
POLICY_NAME,34
AGREEMENT_ID,31
PAYMENT_ORDER_ID,29
PROCESS_STATUS,28
FREQUENCY,27
LAST_NAME,25
PRODUCT_NAME,24
DATE,24
RELATIONSHIP,24
AUTOMATION_STATUS,22
RESP_TEAM,20
APPROVAL_LEVEL,19
PAYMENT_TYPE,19
GUIDELINE_NAME,19
ENVIRONMENT,18
PAYEE_NAME,18
POLICY_STATUS,18
CITY,18
YEAR,16
OP_STATUS,15
EMAIL,14
ISSUING_BODY,13
INCOME,12
GUIDELINE_STATUS,12
TYPE,12
FULL_NAME,12
APP_LIST_SHORT,12
CATEGORY,11
AGREEMENT_TYPE,11
CHANNELS,11
DATE_B,10
DATE_A,10
RESPONSIBLE_DEPT,10
PRODUCT,10
DATE_2,10
DATE_1,10
DOCUMENT_TYPE,9
VM_NAME,9
ENTITY_NAME,9
PROVIDER,9
DATE_3,9
PRODUCT_CODE,9
VERSION,9
REG_TAGS,9
PRODUCT_1,8
PRODUCT_2,8
APPLICATION_NAME,8
ASSET_OWNER,8
TERM,7
RELATIONSHIP_TYPE,7
CREDIT_SCORE,7
FEES,7
INTEREST_RATE,7
RESP_DEPT,7
DEPLOYMENT_DATE,7
PAYER_NAME,7
PHONE,7
REVIEW_FREQUENCY,7
MASKED_PIN,7
AUTH_METHOD,6
APP_NAME,6
TERM_B,6
TERM_A,6
LAST_INTERACTION_DATE,6
NAME_2,5
DOC_REF_LIST,5
NAME_3,5
IT_CUSTODIAN,5
SUPPORTED_CURRENCIES,5
STORAGE_CAPACITY,5
COST_MODEL,5
APP_LIST,5
REVIEW_DATE,5
NAME_1,5
EMP_A_FIRST,4
ACCOUNT_BALANCE,4
CONFIG_GROUP,4
DOCUMENT_LINK,4
PRODUCT_3,4
PARTY_NAME,4
COST_CENTER,4
EMP1_PHONE,4
TRANSACTION,4
PARTY,4
APP_LIST_WITH_CAPACITY,4
TERM_LAST_REVIEWED_DATE,4
EMP2_PHONE,4
LINK,4
BIOMETRIC_TYPE,4
EMP_B_FIRST,4
APPLICABILITY,4
REVIEW_FREQ,4
INTEREST,4
AGE,3
SOURCE,3
EXPIRY_DATE,3
CCV,3
PRODUCT_A,3
PASSWORD,3
STATUS_B,3
POLICY_B,3
DATE_C,3
STATUS_A,3
PRODUCT_B,3
REFERENCE,3
PRODUCT_TYPE,3
CREDIT_CARD_NUMBER,3
IP_ADDRESS,3
PRODUCT_C,3
POLICY_A,3
EMP1_FIRST,3
NAME_LIST,3
EMP_A_LAST,3
EMP_B_EMAIL,3
EMP_B_LAST,3
STATUS_1,3
EMP_A_PHONE,3
STATUS_2,3
EMP_A_EMAIL,3
DATE_LIST,3
STATUS_3,3
ENTITY,3
EMP_B_PHONE,3
EMP2_FIRST,3
CUSTOMER_1,3
INCOME_1,2
APPROVER_NAME,2
CORPKEY_2,2
PROCESS_B,2
EMP1_NAME,2
FIRST_LAST_3,2
EMP2_NAME,2
FIRST_LAST_2,2
FIRST_LAST_1,2
STREET,2
EXAMPLE_NAME,2
WORKSTREAM,2
PROD_A,2
OWNER_NAME,2
OPERATIONAL_STATUS,2
CITY_2,2
CONTRIB_1,2
CONTRIB_2,2
FIELD_B,2
FIELD_A,2
CITY_1,2
EMP1_LAST,2
INCOME_3,2
...,2
CITY_3,2
HOBBIES,2
DOC_A,2
LINK_A,2
DOC_B,2
LINK_B,2
INCOME_2,2
PROD_B,2
CORPKEY_1,2
PERIOD,2
TRANSACTION_TYPE,2
TARGET_TEAM,2
EMP1_EMAIL,2
CUSTOMER_2,2
EMP1_CORPKEY,2
EMP2_LAST,2
PIN,2
AGREEMENT_1,2
TYPE_1,2
AMOUNT_1,2
CUSTOMER,2
EMP2_EMAIL,2
EMP2_CORPKEY,2
PROCESS_A,2
YEAR_2,2
PROD_C,2
ROLE_B,2
ROLE_A,2
CONTRACT_TYPE,2
NUMBER,2
DOB,2
GUIDELINE_A,2
GUIDELINE_B,2
ISSUER_B,2
COST_D,1
RESPONSIBLE_TEAM,1
CONFIG_B,1
APP_B,1
APP_E,1
COST_A,1
APP_A,1
CONFIG_D,1
CONFIG_A,1
APP_D,1
COST_C,1
CONFIG_E,1
APP_C,1
COST_B,1
CONFIG_C,1
POLITICAL_OPINION,1
COST_E,1
LAST_EXECUTED_DATE_A,1
TYPE_2,1
AGREEMENT_2,1
APPLICATION_TYPE,1
FULL_NAME_1,1
FULL_NAME_2,1
DOC2,1
YEAR2,1
DOC1,1
YEAR1,1
YEAR_B,1
YEAR_A,1
DOC_TYPE,1
DEPARTMENT,1
INSURANCE_POLICY,1
VIRTUAL_SYSTEM_CONFIGURATION,1
RELIGIOUS_BELIEF,1
COST_CENTER_1,1
CRIMINAL_CONVICTIONS,1
BENEFICIARY,1
AMOUNT_2,1
AGREEMENT_3,1
PROVIDER_LIST,1
TERM_1,1
CATEGORY_WRONG,1
CATEGORY_WRONG_2,1
POLICY_ALTERNATIVE,1
ONE_LINE,1
USAGE_SENTENCE,1
BENEFICIARY_NAME,1
CAT_A,1
CAT_B,1
TERM_2,1
REL_3,1
ITEMS_LIST,1
TYPE_GROUP,1
AMOUNT_3,1
TYPE_3,1
CUSTOMER_3,1
TERM_3,1
REL_1,1
REL_2,1
COST_CENTER_2,1
REVIEW_FREQ_A,1
CONFIG_GROUP_2,1
CONFIG_GROUP_1,1
DOCUMENT_LINK_2,1
SYSTEM_NAME_1,1
SYSTEM_NAME_2,1
SYSTEM_NAME_3,1
FINANCIAL_METRIC,1
NATIONAL_ID,1
ID,1
METHOD,1
PROVIDERS,1
APPS,1
POLICY_1,1
POLICY_2,1
POLICY_3,1
POLICY_4,1
STATUS_4,1
DATE_4,1
APPROVAL_A,1
DOCUMENT_LINK_1,1
COMPANY,1
INSURANCE_TYPE,1
PROD_1,1
FULLNAME_1,1
FULLNAME_2,1
FULLNAME_3,1
FIRST_NAMES,1
REL_A,1
REL_B,1
STATUS_C,1
PROD_2,1
PORTFOLIO_VALUE,1
PROD_3,1
YEAR_1,1
ENTITY_TYPE,1
SERVICE_CHANNEL,1
AMOUNT_LIST,1
TRANSFER_ID_LIST,1
SYSTEM_NAME,1
APPROVAL_B,1
EMP_1,1
EMP_2,1
EMP_B_CORPKEY,1
POSTAL,1
